datetime,open,high,low,close,trend_identified,event
2025-04-02 15:28:00,562.9398,562.97,562.9298,562.97,,
2025-04-02 15:28:02,562.97,562.97,562.94,562.95,,
2025-04-02 15:28:04,562.94,562.96,562.94,562.9588,,
2025-04-02 15:28:06,562.95,562.987,562.91,562.94,,
2025-04-02 15:28:08,562.93,562.97,562.93,562.95,,
2025-04-02 15:28:10,562.95,562.99,562.9401,562.96,,
2025-04-02 15:28:12,562.945,563.06,562.945,563.0501,,
2025-04-02 15:28:14,563.046,563.06,562.98,563.015,,
2025-04-02 15:28:16,563.0003,563.05,562.98,563.045,,
2025-04-02 15:28:18,563.06,563.0603,563.03,563.04,,
2025-04-02 15:28:20,563.03,563.05,563.025,563.05,,
2025-04-02 15:28:22,563.045,563.06,563.03,563.04,,
2025-04-02 15:28:24,563.045,563.17,562.6671,563.1459,,
2025-04-02 15:28:26,563.1478,563.15,563.1,563.1,,
2025-04-02 15:28:28,563.1,563.145,563.09,563.1325,,
2025-04-02 15:28:30,563.135,563.135,563.1,563.12,,
2025-04-02 15:28:32,563.1,563.13,563.09,563.1208,,
2025-04-02 15:28:34,563.12,563.17,562.9564,563.16,,
2025-04-02 15:28:36,563.17,563.17,563.1003,563.1527,,
2025-04-02 15:28:38,563.145,563.17,563.145,563.15,,
2025-04-02 15:28:40,563.1572,563.17,563.13,563.13,,
2025-04-02 15:28:42,563.14,563.2,563.13,563.1848,,
2025-04-02 15:28:44,563.2,563.29,563.2,563.2612,,
2025-04-02 15:28:46,563.2793,563.28,563.21,563.2489,,
2025-04-02 15:28:48,563.245,563.29,563.241,563.2703,,
2025-04-02 15:28:50,563.29,563.295,563.1863,563.25,,
2025-04-02 15:28:52,563.25,563.2988,563.25,563.29,,
2025-04-02 15:28:54,563.3,563.32,563.27,563.3193,,
2025-04-02 15:28:56,563.315,563.37,562.7585,562.7585,,
2025-04-02 15:28:58,563.34,563.3702,563.3399,563.35,,
2025-04-02 15:29:00,563.34,563.3598,563.0331,563.33,,
2025-04-02 15:29:02,563.33,563.33,562.7779,563.2753,,
2025-04-02 15:29:04,563.2501,563.29,563.25,563.25,,
2025-04-02 15:29:06,563.28,563.32,563.265,563.32,,
2025-04-02 15:29:08,563.2662,563.38,563.2662,563.3498,,
2025-04-02 15:29:10,563.36,563.37,563.32,563.345,,
2025-04-02 15:29:12,562.7593,563.35,562.7593,563.3131,,
2025-04-02 15:29:14,563.32,563.32,563.3,563.3,,
2025-04-02 15:29:16,563.3,563.31,563.191,563.2,,
2025-04-02 15:29:18,563.2,563.24,562.5031,562.5031,,
2025-04-02 15:29:20,563.19,563.2967,563.0,563.15,,
2025-04-02 15:29:22,563.1312,563.23,563.1312,563.23,,
2025-04-02 15:29:24,563.2302,563.24,563.205,563.22,,
2025-04-02 15:29:26,563.21,563.21,563.17,563.1715,,
2025-04-02 15:29:28,563.18,563.2699,563.18,563.258,,
2025-04-02 15:29:30,563.26,563.31,563.26,563.29,,
2025-04-02 15:29:32,563.3,563.3,563.2,563.201875,,
2025-04-02 15:29:34,563.2,563.21,562.9498,563.18,,
2025-04-02 15:29:36,563.19,563.23,563.14,563.2161,,
2025-04-02 15:29:38,563.2141,563.24,563.2002,563.23,,
2025-04-02 15:29:40,563.235,563.235,563.19,563.22,,
2025-04-02 15:29:42,563.21,563.263652,563.18,563.18,,
2025-04-02 15:29:44,563.1798,563.19,563.16,563.19,,
2025-04-02 15:29:46,563.2,563.26,563.19,563.19,,
2025-04-02 15:29:48,563.18,563.185,563.09,563.105,,
2025-04-02 15:29:50,563.1,563.1099,563.05,563.08,,
2025-04-02 15:29:52,563.08,563.1,563.07,563.095,,
2025-04-02 15:29:54,563.09,563.22,563.09,563.2,,
2025-04-02 15:29:56,563.195,563.21,563.1686,563.1775,,
2025-04-02 15:29:58,562.855,563.2199,562.855,563.1905,,
2025-04-02 15:30:00,563.18,563.18,562.635,562.815,,
